INPUT,English,Portuguese
LBL_TCF_SUB_TITLE,Intergrity & Technical compliance of your products,integridade e conformidade técnica dos seus produtos.
LBL_VIEW,View,visualização
LBL_LEARN_MORE,Learn More,saber mais
TITLE,Staff Register,registro de funcionários
LBL_PERSOPART,Personal Particulars,detalhes pessoais.
LBL_EMPLOYEENO,Employee No,número do funcionário
PH_EMPLOYEENO,Please Enter Employee No,"por favor, insira o número do funcionário."
LBL_DATEBIRTH,Date of Birth,data de nascimento
PH_DATEBIRTH,Please Enter Date of Birth,"por favor, insira a data de nascimento."
LBL_COUNTRY,Country,país.
LBL_NAME,Person name,nome da pessoa
PH_NAME,Please Enter Person Name,"por favor, digite o nome da pessoa."
LBL_QUALIFICATION,Qualification,qualificação.
LBL_NATIONALITY,Nationality,nacionalidade
LBL_LOCALLANGUAGE,Regional language name,nome do idioma regional
PH_LOCALLANGUAGE,Please Enter Regional language name,"por favor, insira o nome do idioma regional."
LBL_GRADUATE,Graduate school,escola de pós-graduação.
PH_GRADUATE,Please Enter Graduate school,"por favor, entre na faculdade de pós-graduação."
LBL_EMERCONTACT,Emergency contact person,pessoa de contato de emergência
PH_EMERCONTACT,Please Enter Emergency contact person,"por favor, informe a pessoa de contato de emergência."
LBL_GENDER,Gender,gênero
LBL_SELECT,Select,selecionar
LBL_GRADUATEDATE,Graduate date,data de formatura
PH_GRADUATEDATE,Please Enter Graduate date,"por favor, insira a data de formatura."
LBL_EMRPHONE,Emergency contact phone,telefone de contato de emergência.
PH_EMRPHONE,Please Enter Emergency contact phone,"por favor, informe o telefone do contato de emergência."
LBL_MARTIAL,Marital Status,estado civil.
LBL_PASSPORT,Passport/ ID nbr,número do passaporte/documento de identificação.
PH_PASSPORT,Please Enter PassportNo,"por favor, insira o número do passaporte."
LBL_SKYPE,Skype ID,identificação do skype.
PH_SKYPE,Please Enter Skype ID,"por favor, insira o id do skype."
LBL_EMAIL,Email address (Personal),endereço de email (pessoal)
PH_EMAIL,Please Enter Email Address,"por favor, insira o endereço de e-mail."
LBL_CONTACTNBR,Contact Nbr,número de contato
PH_CONTACTNBR,Please Enter Contact Nbr,"por favor, insira o número de contato."
LBL_JOINDATE,Join Date,data de adesão
PH_JOINDATE,Please Enter Join Date,"por favor, insira a data de adesão."
TAB_EMPLOYEEINFO,Employee informations,informações do funcionário.
LBL_POSITION,Position,posição
LBL_COMPANYEMAIL,Company Email,e-mail da empresa
PH_COMPANYEMAIL,Please Enter Company Email,"por favor, insira o e-mail da empresa."
LBL_BANKNAME,Bank Name,nome do banco
PH_BANKNAME,Please Enter Bank Name,"por favor, informe o nome do banco."
LBL_REPORTHEAD,Report head,cabeçalho de relatório
LBL_COMPANYMOBILE,Company mobile,empresa móvel
PH_COMPANYMOBILE,Please Enter Company mobile,"por favor, insira o celular da empresa."
LBL_BANKACCOUNT,Bank Account,conta bancária
PH_BANKACCOUNT,Please Enter Bank Account,"por favor, informe o número da conta bancária."
LBL_EMPLOYEETYPE,Employee Type,tipo de funcionário
LBL_ANNUALLEAVE,Annual leave,licença anual.
PH_ANNUALLEAVE,Please Enter Annual leave,"por favor, insira férias anuais."
LBL_SOCASSCARDNO,Social insurance card No,número do cartão de seguro social.
PH_SOCASSCARDNO,Please Enter Social insurance card No,"por favor, insira o número do seu cartão de seguro social."
LBL_OFFICE,Branch office,escritório filial.
LBL_PROBEXPDATE,Probation Expired Date,data de expiração da liberdade condicional
PH_PROEXPDATE,Please Enter probation expired date,"por favor, insira a data de expiração da probação."
LBL_HOUSINGFUNDCARD,Housing fund card No,número do cartão do fundo de habitação.
PH_HOUSINGFUNDCARD,Housing fund card,cartão do fundo habitacional
LBL_QCSTARTPLACE,Qc Start Place,local de início da qc
LBL_PROBATIONPERIOD,Probation Period,período de experiência
PH_PROBATIONPERIOD,Please Enter probation period,"por favor, entre em período probatório."
LBL_PLACEPURCHF,Social Insurance & HF place,seguro social e local de fundo de saúde.
LBL_DEPARTMENT,Category,categoria
LBL_SUBDEPARTMENT,Departement,departamento
LBL_PROFILE,Profile,perfil
LBL_OPERATION_COUNTRY,Operational Country,país operacional
LBL_PAYROLLCURRENCY,Payroll Currency,moeda de pagamento.
LBL_ISAUDITOR,Is Auditor,é auditor.
LBL_LABOREXPDATE,Labor contract expired date,data de expiração do contrato de trabalho.
LBL_ADDRESS,Address,endereço
LBL_HOMEADDRESS,Home address,endereço residencial.
LBL_ADR_COUNTRY,Country,país
LBL_ADR_STATE,Province / State,província / estado
LBL_ADR_CITY,City,cidade.
LBL_ADR_COUNTY,County,condado
LBL_ADR_ADDRESS,Address,endereço
PH_ADR_ADDRESS,Please Enter Address,"por favor, insira o endereço."
LBL_CURRENTADDRESS,Current address,endereço atual
LBL_STARTWKDATE,Start working Date,data de início de trabalho.
LBL_EXPERIENCE,Experience,experiência
PH_STARTWKDATE,Please Enter Start Working Date,"por favor, insira a data de início do trabalho."
LBL_TOTWKYEARS,Total working years,total de anos trabalhados.
PH_TOTWKYEARS,Working years,anos de trabalho.
LBL_TOTWKYEARSGAR,Working years in Inspection Industry,anos de trabalho na indústria de inspeção.
PH_TOTWKYEARSGAR,Working years in garment,anos trabalhados na indústria de confecção.
LBL_MARKETSEGMENTS,Market segments,segmentos de mercado.
LBL_PRODUCTCATEGORIES, Product categories,categorias de produtos.
LBL_EXPERTISE,Expertise,experiência.
LBL_REMOVE,Remove,remover
LBL_UPLOAD,Upload,carregar.
LBL_RENEWSDATE,Renew - Start date,data de início da renovação
LBL_RENEWEDATE,Renew - Expired date,renovar - data de validade expirada
LBL_ADD,Add,adicionar
LBL_ISCURRENTADDRESS,Current Address,endereço atual
LBL_COMPANY,Company,empresa
LBL_JOB,Job,emprego
LBL_SALARY,Salary,salário.
LBL_CURRENCY,Currency,moeda
LBL_STARTDATE,Start date,data de início
LBL_ENDDATE,End date,data de término.
LBL_TRAINING,Training,treinamento
LBL_TRAININGTOPIC,Training topic,tópico de treinamento.
LBL_TRAINER,Trainer,treinador
LBL_COMMENTS,Comments,comentários
LBL_ATTACHEMENTS,Attachments,anexos
LBL_FILEDESCRIPTION,File description,descrição do arquivo
LBL_FILENAME,File name,nome do arquivo.
LBL_UPLOADBY,Uploaded by,carregado por.
LBL_UPLOADDATE,Uploaded date,data de upload.
LBL_MANAGER,Manager,gerente
MSG_EMPLOYEENO_REQ,Employee No is required,número do funcionário é necessário.
MSG_COUNTRY_REQ,Country is required,país é obrigatório.
MSG_PERSONNAME_REQ,Person name is required,o nome da pessoa é obrigatório.
MSG_QUALIFICATION_REQ,Qualification is required,qualificação é necessária.
MSG_GENDER_REQ,Gender is required,gênero é obrigatório.
MSG_MARTIAL_STATUS_REQ,Martial status is required,estado civil é obrigatório.
MSG_EMAIL_REQ,Email address is required,endereço de e-mail é obrigatório.
MSG_JOINDATE_REQ,Join date is required,data de inscrição é obrigatória.
MSG_CONTACTPHONE_REQ,Contact Nbr is required,o número de contato é obrigatório.
MSG_POSITION_REQ,Position is required,posição é obrigatória.
MSG_COMPANYEMAIL_REQ,Company email is required,o email da empresa é obrigatório.
MSG_REPORTHEAD_REQ,Report head is required,o cabeçalho do relatório é obrigatório.
MSG_EMPLOYEETYPE_REQ,Employee type is required,tipo de funcionário é necessário.
MSG_OFFICE_REQ,Office is required,escritório é obrigatório.
MSG_DEPARTMENT_REQ,Department is required,departamento é obrigatório.
MSG_PROFILE_REQ,Profile is required,perfil é obrigatório.
MSG_OPCOUNTRY_REQ,Operational country is required,o país operacional é obrigatório.
MSG_PAYROLL_REQ,Payroll currency is required,é necessário a moeda da folha de pagamento.
MSG_HOMECOUNTRY_REQ,Home country is required,país de origem é obrigatório.
MSG_HOMECITY_REQ,Home City is required,a cidade de origem é obrigatória.
MSG_HOMESTATE_REQ,Home State is required,o estado de residência é obrigatório.
MSG_HOMEADDR_REQ,Home address is required,o endereço residencial é obrigatório.
MSG_CURRCOUNTRY_REQ,Current country is required,país atual é necessário.
MSG_CURRSTATE_REQ,Current state is required,o estado atual é obrigatório.
MSG_CURRCITY_REQ,Current City is required,a cidade atual é necessária.
MSG_CURRCOUNTY_REQ,Current County is required,o condado atual é obrigatório.
MSG_CURRADDR_REQ,Current address is required,endereço atual é obrigatório.
LBL_ENTITY,Entity,entidade
MSG_EMAIL_INVALID,Email address is invalid,o endereço de e-mail é inválido.
MSG_JOINDATE_DATE,Join date has not valid date,a data de adesão não é válida.
MSG_COMPANYEMAIL_EMAIL,company email is not valid,o endereço de e-mail da empresa não é válido.
MSG_PROBEXPDAT_DATE,Probation expired date is not a valid date,a data de expiração da liberdade condicional não é uma data válida.
MSG_GRADUATEDATE_DATE,Graduate date has not valid date,a data de formatura não é válida.
MSG_BIRTHDATE_DATE,Birthday date is not valid date,a data de aniversário não é uma data válida.
MSG_SALARY_NUMBER,Salary  is not valid  decimal,o salário não é válido em decimal.
LBL_DELETE,Delete,apagar
MSG_SAVE_SUCCESS,Staff is successfully saved,a equipe foi salva com sucesso.
MSG_CANNOT_ADDSTAFF,Error : Staff cannot be saved,erro: equipe não pode ser salva.
MSG_CURRENTSTAFF_NOTFOUND,Error : The current staff is not found,erro: a equipe atual não foi encontrada.
MSG_CANNOTMAPREQUEST,Error some data cannot be saved,erro: alguns dados não podem ser salvos.
MSG_UNKNONW_ERROR,Unknow error has occured,ocorreu um erro desconhecido.
MSG_RENEW_STARTDATE_GERAT_ENDDATE,Start Date is great than end date,data de início é maior que a data de término.
MSG_RENEW_ENDDATE_LESS_STARTDATE,End Date is less than start date,a data de término é anterior à data de início.
MSG_RENEW_STARTDATE_DATE,Start Date is not a valid date,a data de início não é uma data válida.
MSG_RENEW_ENDDATE_DATE,End Date is not a valid date,a data de término não é uma data válida.
MSG_STARTWK_DATE,Start Working date is not valid date,a data de início de trabalho não é uma data válida.
MSG_ENTITY_REQ,Entity is required,entidade é necessária.
MSG_SERVICE_REQ,Service is required,o serviço é necessário.
MSG_PRIMARY_REQ,Primary Entity is required,entidade principal é necessária.
LBL_SAVE,Save,salvar
LBL_RETURN,Return,retorno
LBL_RESET,Reset,redefinir
LBL_IS_FORECAST_APPLICABLE,Is ForeCast Applicable,a previsão é aplicável?
LBL_MAJOR_SUBJECT,Major Subject,assunto principal
LBL_RELATIONSHIP_WITH_EMERGENCY_CONTACT,Relationship with Emergency contact,relacionamento com contato de emergência.
LBL_BAND,Band,banda
LBL_GLOBAL_GRADING,Global Grading,avaliação global.
LBL_SOCIAL_INSURANCE_TYPE,Social Insurance Type,tipo de seguro social.
LBL_HUKO_LOCATION,Huko Location,localização huko
LBL_NOTICE_PERIOD,Notice Period (Days),período de aviso prévio (dias)
MSG_BAND,Band is required,a banda é necessária.
MSG_ENTITY_AND_SERVICE_REQUIRED,Entity & Service is Required,entidade e serviço são obrigatórios.
TITLE,Holiday Master,mestre das férias.
LBL_COUNTRY,Country,país.
LBL_SELECT,Select,selecionar
LBL_BRANCHOFFICE,Branch office,escritório filial
LBL_YEAR,Years,anos
LBL_SEARCH,Search,busca
LBL_ADD,Add,adicionar
LBL_COUNTRYNAME,Country name,nome do país
LBL_OFFICE,Fullbridge Office,escritório fullbridge.
LBL_HOLIDAYDESCRIPTION,Holiday Description,descrição da feriado
LBL_DATES,Dates,datas
LBL_REMOVE,Remove,remover
MSG_SHOWING,Showing,mostrando
MSG_TO,to,para
MSG_OF,of,da
MSG_RECORDS,records,registros
LBL_PREVIOUS,Previous,anterior
LBL_NEXT,Next,próximo.
LBL_CONFIRMDELETION,Confirm deletion,confirmar exclusão.
LBL_CONFIRMCANCEL,Cancel,cancelar
LBL_CONFIRMOK,OK,"tudo bem. em português, a tradução de ok é ""tudo certo""."
MSG_COUNTRY_REQ,Country is required,país é obrigatório.
MSG_YEAR_REQ,Year is required,ano é obrigatório.
LBL_EDITHOLIDAY,Edit Holiday,editar feriado
LBL_TYPE,Holiday type,tipo de feriado.
LBL_MANUALLY,Manually,manualmente
LBL_EVERYYEAR,Every year,todos os anos.
LBL_EVERYMONTH,Every month,todo mês.
LBL_EVERYWEEK,Every week,toda semana.
LBL_FROMDATE,From,de.
LBL_ENDDATE,To,para.
LBL_SUNDAY,Sunday,domingo
LBL_MONDAY,Monday,segunda-feira
LBL_TUESDAY,Tuesday,terça-feira.
LBL_WEDNESDAY,Wednesday,quarta-feira.
LBL_THURSDAY,Thursday,quinta-feira
LBL_FRIDAY,Friday,sexta-feira.
LBL_SATURDAY,Saturday,sábado
LBL_UPDATE,Update,atualização
MSG_NOPOPUP,Date selection,seleção de data
MSG_MUSTSELECTCOUNTRY,You must select  country and year first,você deve selecionar o país e o ano primeiro.
LBL_DATE,Date,data
MSG_DESCRIPTION_REQ,Holiday description is required,a descrição da feriado é obrigatória.
MSG_STARTDATE_DATE,Start date is required,data de início é obrigatória.
MSG_ENDDATE_DATE,End date is required,data final é necessária.
MSG_STARTDATE_GERAT_ENDDATE,Start date is great than End date,data de início é maior que a data de término.
MSG_ENDDATE_LESS_STARTDATE,End date is less than Start date,a data de término é menor do que a data de início.
LBL_UPDATE_CURRENT,Update current date,atualizar data atual
LBL_UPDATE_ALL,Update all next dates,atualizar todas as próximas datas
LBL_REMOVE_CURRENT,Delete current date,eliminar a data atual.
LBL_REMOVE_ALL,Delete all next dates,excluir todas as datas seguintes.
MSG_CANNOTUPDATEPASTDATE,Cannot update date in past,não é possível atualizar a data no passado.
MSG_CANNOTREMOVEPASTDATE,Cannot remove past date,não é possível remover uma data passada.
MSG_CALENDARISUPDATED,Calendar is updated,o calendário foi atualizado.
MSG_HOLIDAY_REMOVED,The holiday is removed,o feriado foi removido.
LBL_ENDDATEWEEK,Limit date,data limite.
LBL_STARTDAYTYPE,Start day type,tipo de início do dia.
LBL_ENDDAYTYPE,End day type,tipo de dia final.
MSG_LOCATION_REQ,Branch Office is required,filial é necessária.
TITLE,Country Summary,resumo do país
LBL_SEARCH,Search,buscar
LBL_COUNTRY,Country Name,nome do país
LBL_SELECT,Select,selecionar
LBL_ADD,New,nova.
LBL_AREA,Area,área
LBL_COUNTRY_CODE,Country Code,código do país
LBL_COUNTRY_ALPH_CODE,Alpha Code,código alpha
LBL_PREVIOUS,Previous,anterior
LBL_NEXT,Next,próximo.
LBL_No_ITEM,No data found,nenhuma data encontrada.
LBL_EDIT,Edit,editar
MSG_SHOWING,Showing,mostrando.
MSG_TO,to,para
MSG_OF,of,da
MSG_RECORDS,records,registros
MSG_COUNTRY_REQ,Country is required,o país é obrigatório.
TITLE,Country Details,detalhes do país.
LBL_COUNTRY,Country Name,nome do país
LBL_AREA,Area,área
LBL_COUNTRY_CODE,Country Code,código do país.
LBL_COUNTRY_ALPH_CODE,Alpha Code,código alfa
LBL_DETAILS,Main Details,detalhes principais
PH_COUNTRY_NAME,Please enter country name,"por favor, insira o nome do país."
MSG_COUNTRY_NAME_REQ,Country name is required,o nome do país é obrigatório.
LBL_SELECT,Select,selecionar
PH_AREA,Please select area,"por favor, selecione a área."
MSG_AREA_REQ,Area is required,área é obrigatória.
PH_COUNTRY_CODE,Please enter country code,"por favor, insira o código do país."
PH_COUNTRY_ALPH_CODE,Please enter country Alpha code,"por favor, insira o código alfa do país."
LBL_SAVE,Save,salvar
LBL_RESET,Reset,redefinir
LBL_ADD,Add,adicionar.
LBL_EDIT,Edit,editar
LBL_RETURN,Return,retorno
LBL_SUCCESS,success,sucesso
LBL_ERROR,Error,erro
MSG_SAVE_SUCCESS,Country details saved successfully ,detalhes do país salvos com sucesso.
MSG_CANNOT_SAVE_COUNTRY,Error : Country cannot be saved,erro: país não pode ser salvo.
MSG_CURRENT_COUNTRY_NOTFOUND,Error : The current country is not found,erro: o país atual não foi encontrado.
MSG_CANNOTMAPREQUEST,Error: Cannot map request,erro: não é possível mapear a solicitação.
MSG_UNKNONW_ERROR,Unknow error has occured,ocorreu um erro desconhecido.
TITLE,Province Summary,resumo da província
LBL_SEARCH,Search,buscar
LBL_COUNTRY,Country Name,nome do país.
LBL_REGION,Province Name,nome da província.
LBL_SELECT,Select,selecionar
LBL_ADD,New,nova
LBL_PREVIOUS,Previous,anterior
LBL_NEXT,Next,próximo.
LBL_REGION_CODE,Province Code,código da província
LBL_No_ITEM,No data found,nenhuma data encontrada.
LBL_EDIT,Edit,editar
MSG_SHOWING,Showing,mostrando
MSG_TO,to,ao
MSG_OF,of,da
MSG_RECORDS,records,registros
MSG_COUNTRY_REQ,Country is required,país é obrigatório.
TITLE,Province Details,detalhes da província.
LBL_SEARCH,Search,buscar
LBL_COUNTRY,Country Name,nome do país
LBL_REGION,Province Name,nome da província.
LBL_SELECT,Select,selecionar
MSG_COUNTRY_NAME_REQ,Country is required,país é obrigatório.
PH_REGION_NAME,Please enter Province name,"por favor, informe o nome da província."
MSG_REGION_NAME_REQ,Province name is required,o nome da província é obrigatório.
LBL_REGION_CODE,Province Code,código da província
PH_REGION_CODE,Please enter Province code,"por favor, insira o código da província."
LBL_SAVE,Save,salvar.
LBL_RESET,Reset,redefinir
LBL_DETAILS,Main Details,detalhes principais
LBL_ADD,Add,adicionar
LBL_EDIT,Edit,editar
LBL_RETURN,Return,devolução
LBL_SUCCESS,success,sucesso
LBL_ERROR,Error,erro
